Type,Name,,,,,,,Mortgage Value,,,Cost,Colour
0,Old Rent Road,2,10,30,90,160,250,50,30,30,60,Brown
1,Community Chest,,,,,,,,,,,
0,Whitechapel Road,4,20,60,180,360,450,50,30,30,60,Brown
2,Income Tax,,,,,,,,,,200,
3,King's Cross Station,,,,,,,100,,,200,
0,The Angel Islington,6,30,90,270,400,550,50,50,50,100,Light Blue
4,Chance,,,,,,,,,,,
0,Euston Road,6,30,90,270,400,550,50,50,50,100,Light Blue
0,Pentonville Road,8,40,100,300,450,600,60,50,50,120,Light Blue
0,Pall Mall,10,50,150,450,625,750,70,100,100,140,Pink
5,Electric Company,,,,,,,75,,,150,
0,Whitehall,10,50,150,450,625,750,70,100,100,140,Pink
0,Northumberland Avenue,12,60,180,500,700,900,80,100,100,160,Pink
3,Marylebone Station,,,,,,,100,,,200,
0,Bow Street,14,70,200,550,750,950,90,100,100,180,Orange
1,Community Chest,,,,,,,,,,,
0,Marlborough Street,14,70,200,550,750,950,90,100,100,180,Orange
0,Vine Street,16,80,220,600,800,1000,100,100,100,200,Orange
0,Strand,18,90,250,700,875,1050,110,150,150,220,Red
4,Chance,,,,,,,,,,,
0,Fleet Street,18,90,250,700,875,1050,110,150,150,220,Red
0,Trafalgar Square,20,100,300,750,925,1100,120,150,150,240,Red
3,Fenchurch Street Station,,,,,,,100,,,200,
0,Leicester Square,22,110,330,800,975,1150,150,150,150,260,Yellow
0,Coventry Street,22,110,330,800,975,1150,150,150,150,260,Yellow
5,Water Works,,,,,,,75,,,150,
0,Piccadilly,22,120,360,850,1025,1200,150,140,140,280,Yellow
0,Regent Street,26,130,390,900,1100,1275,200,150,150,300,Green
0,Oxford Street,26,130,390,900,1100,1275,200,150,150,300,Green
1,Community Chest,,,,,,,,,,,
0,Bond Street,28,150,450,1000,1200,1400,200,160,160,320,Green
3,Liverpool Street Station,,,,,,,100,,,200,
4,Chance,,,,,,,,,,,
0,Park Lane,35,175,500,1100,1300,1500,175,200,200,350,Dark Blue
6,Super Tax,,,,,,,,,,100,
0,Mayfair,50,200,600,1400,1700,2000,200,200,200,400,Dark Blue
